Index,ID,TraitVal,TraitUnit,Phylum,Class,Order,Family,Genus,Species,Temp,TempUnit,Label
135,Alain_2003_D_crinifex,-0.00000007,s^-1,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,crinifex,74.9283,Celsius,Growth
136,Amend_2003_P_helgesonii,0.0000186,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,44.8423,Celsius,Growth
137,Amend_2003_P_helgesonii,0.0000519,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,54.8527,Celsius,Growth
138,Amend_2003_P_helgesonii,0.0000952,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,64.8783,Celsius,Growth
139,Amend_2003_P_helgesonii,0.00012268,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,69.8852,Celsius,Growth
140,Amend_2003_P_helgesonii,0.00023684,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,74.8967,Celsius,Growth
141,Amend_2003_P_helgesonii,0.00022368,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,79.896,Celsius,Growth
142,Amend_2003_P_helgesonii,0.0001124,s^-1,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,helgesonii,84.974,Celsius,Growth
143,Amo_2002_P_calidifontis,0.000012,s^-1,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,calidifontis,79.9538,Celsius,Growth
144,Amo_2002_P_calidifontis,0.0000217,s^-1,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,calidifontis,84.9598,Celsius,Growth
145,Amo_2002_P_calidifontis,0.0000336,s^-1,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,calidifontis,89.9566,Celsius,Growth
146,Amo_2002_P_calidifontis,0.0000302,s^-1,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,calidifontis,94.9959,Celsius,Growth
147,Amo_2002_P_calidifontis,0.0000125,s^-1,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,calidifontis,98.0305,Celsius,Growth
